test_case,BKS,C_VNS,T_VNS,C_.9D,T_.9D,C_.7D,T_.7D,C_.5D,T_.5D,C_.3D,T_.3D,C_.9A,T_.9A,C_.7A,T_.7A,C_.5A,T_.5A,C_.3A,T_.3A
1601_387986.64,309180.99,354434.862,105618,354434.862,91705,351928.464,97254,352904.094,58342,354014.102,42452,353722.808,135165,347648.726,106412,355400.558,85363,377820.752,25975
1601_386822.08,309180.99,351624.222,150561,352071.42,121409,354287.5,83482,352760.61,41817,351405.986,37513,353933.79,106608,352636.05,96018,353910.062,72814,375998.112,29038
1601_343940.30,309180.99,341835.416,61236,341835.416,53511,341835.416,40127,341727.46,22484,341140.96,13344,341936.152,55929,341942.652,42265,342103.29,25227,342896.674,14711
1601_342907.28,309180.99,339126.636,86934,339126.636,75324,339383.01,41729,339332.606,28750,339410.442,19827,339242.966,68518,339242.52,88865,338899.034,53766,341828.984,15358
1601_325155.37,309180.99,323828.946,53965,323828.946,47398,323831.69,35263,323831.69,24001,323934.09,14039,323828.946,48974,323920.758,36532,323964.074,26018,324870.032,8861
1601_323270.82,309180.99,322522.398,42076,322522.398,36384,322522.398,27158,322499.742,18905,322503.982,10813,322522.398,37829,322499.742,28610,322532.658,20300,323059.862,5920
1501_391592.98,301646.18,348487.162,107472,348209.794,82383,347124.232,65557,349192.568,38090,350406.536,21721,345940.812,117483,347490.456,64233,345949.838,40937,376948.296,12224
1501_384288.91,301646.18,346377.148,97453,345339.246,73633,347367.57,48395,344083.792,42780,347878.262,19582,344112.364,93892,342435.682,63667,344748.784,48148,371264.236,22316
1501_340232.60,301646.18,335436.606,69415,335436.606,57063,335419.402,46126,335380.028,23907,335151.058,17584,335448.296,62001,335472.086,63392,335660.576,36628,338896.006,11666
1501_339518.32,301646.18,334987.108,61074,334733.93,72134,334862.034,41123,334342.832,48683,334665.138,15806,335280.324,46186,335269.022,45791,335144.426,35906,338298.882,6874
1501_319866.50,301646.18,318843.356,45068,318843.356,37530,318860.988,27371,318865.868,18425,318887.316,8467,318861.702,40397,318869.362,29871,319074.576,21391,319523.864,7560
1501_318696.20,301646.18,317902.5,35738,317902.5,29676,317928.804,21586,317932.72,14616,317922.534,8565,317940.494,32316,317952.708,23400,317997.788,24895,318516.806,7044
1401_289859.99,228379.11,258797.05,81556,258797.05,67725,259291.958,49501,260815.888,33560,259099.216,21667,261434.204,70258,257306.82,54410,258052.786,38245,282165.63,14567
1401_289651.18,228379.11,258567.442,90050,258567.442,75485,258567.442,54542,257961.306,31508,257887.19,20174,259383.604,66385,257569.906,77891,257683.35,39302,280838.054,14412
1401_260165.00,228379.11,255099.57,52886,255099.57,43819,255313.31,31521,255313.31,21543,255208.838,14353,255065.496,47687,255715.65,36446,255503.166,28987,259177.316,6075
1401_258989.58,228379.11,253235.466,53783,253235.466,44660,253235.466,32209,253656.886,21966,253511.012,14680,253731.388,48600,253727.54,36660,253893.226,25937,257026.556,12176
1401_243334.95,228379.11,241898.948,39088,241898.948,32601,241898.948,23547,241880.848,16176,241950.668,9462,241917.69,35442,241917.69,26516,241926.302,18884,242676.352,6349
1401_241540.97,228379.11,240504.318,38533,240504.318,32096,240397.496,23035,240397.496,15827,240508.044,9288,240414.242,34664,240612.81,20600,240535.244,14516,241300.972,4042
1301_304535.43,228716.45,268546.4,98670,268546.4,89049,266605.338,68273,267156.622,46315,266729.218,22866,269107.15,78919,268080.168,65715,269195.22,46137,296030.804,18040
1301_299457.69,228716.45,266607.96,112346,264395.224,104438,268375.47,51211,264648.424,32089,267533.27,17706,269165.566,83952,267551.928,85120,270023.23,46092,291614.806,14972
1301_248049.36,228716.45,247002.662,32557,247002.662,27794,247002.662,20384,247002.662,14170,247022.962,5982,247088.092,29688,247066.286,28082,247532.018,15506,247798.056,4414
1301_246618.20,228716.45,245896.232,32272,245896.232,28176,245896.232,20766,245916.312,14176,245917.576,8404,245894.264,28963,245938.466,21751,246005.784,18536,246371.308,4182
1301_244401.86,228716.45,243599.802,24010,243599.802,20661,243555.144,20370,243425.676,17508,243386.376,12191,243624.702,28912,243633.09,21807,243725.496,11177,243897.834,6142
1301_242696.58,228716.45,241374.386,31787,241374.386,27598,241374.386,20505,241332.566,21150,241400.228,14261,241425.874,28529,241435.238,21410,241690.532,14531,242419.576,5826
1201_263944.80,202320.91,241362.29,44739,241362.29,37976,239255.908,32886,238186.34,26338,237807.982,20034,241483.938,56316,240290.136,33710,241722.182,27348,252457.512,14153
1201_259607.08,202320.91,235384.156,58688,235384.156,48692,234513.756,36508,235885.478,20214,238518.356,10169,237648.056,41928,239031.348,31868,237359.724,36664,249324.132,18558
1201_233559.60,202320.91,228775.004,38397,228775.004,32633,229113.814,20808,229109.3,14185,229407.814,8092,228523.534,39928,229029.116,27869,230239.106,13887,232168.732,7905
1201_232223.94,202320.91,226097.592,39007,226097.592,32992,226325.69,24128,226414.496,18824,227429.608,6655,226272.53,35039,226262.936,23619,228180.172,16590,230755.836,6342
1201_214354.18,202320.91,213269.462,17152,213310.81,14466,213296.87,10685,213296.87,7389,213296.87,4374,213329.264,15137,213265.898,19761,213461.48,8717,213656.984,6217
1201_213202.50,202320.91,212191.356,40617,212191.356,34286,212191.356,25281,212191.356,17668,212196.82,10560,212235.892,36397,212278.3,28713,212327.632,20823,212923.518,3140
